algorithm	sum correct shape	sum correct structure	% correct shape	% correct structure
Basic cofold	120	66	3.115264797507788	1.7133956386292835
Beam search	1312	909	34.060228452751815	23.598130841121495
Best helix cofold with RNAfold in second step	785	628	20.37902388369678	16.303219106957425
Folding rule	1321	1140	34.2938733125649	29.595015576323988
Look behind fold	7	1	0.181723779854621	0.02596053997923157
RNAfold	3852	3852	100.0	100.0
